name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bengaluru,01-09-2022,28,20.5,22.8,30.5,20.5,23.2,20.9,90.2,15.538,100,12.5,rain,0,0,38.9,11,74.4,1012.3,60.5,5.5,238.3,20.7,10,30,2022-09-01T06:07:32,2022-09-01T18:29:36,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,02-09-2022,27.4,19.9,23.3,28.6,19.9,23.6,20.2,83.9,1,100,12.5,rain,0,0,18.7,10.3,125.9,1012.6,56.1,6.2,216.7,18.7,9,30,2022-09-02T06:07:34,2022-09-02T18:28:57,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,03-09-2022,30.7,20.1,25,33.1,20.1,25.9,21.2,81,37,100,4.17,rain,0,0,10.8,15.4,229.4,1012.6,58,5.5,215.6,18.7,10,30,2022-09-03T06:07:35,2022-09-03T18:28:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,04-09-2022,29,20,24.1,31.7,20,24.8,21.3,85.4,53.382,100,8.33,rain,0,0,16.2,11.4,292.1,1012.4,69.7,6.4,246.8,21.5,10,30,2022-09-04T06:07:36,2022-09-04T18:27:37,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,05-09-2022,31,19.5,24.2,33.5,19.5,24.9,20.5,82.6,116.849,100,8.33,rain,0,0,20.9,15.7,250.8,1012.1,74.4,5.3,283.8,24.5,10,30,2022-09-05T06:07:37,2022-09-05T18:26:56,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,06-09-2022,29,20.8,23.8,30.9,20.8,24.3,21,85.8,52.74,100,12.5,rain,0,0,33.8,17.7,245.9,1011.6,82.8,5.5,270.5,23.3,10,30,2022-09-06T06:07:37,2022-09-06T18:26:15,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,07-09-2022,26,21,22.7,26,21,22.7,21,90.3,17.236,100,12.5,rain,0,0,40.3,19.3,245.5,1012,86.6,6.1,74.8,6.5,5,30,2022-09-07T06:07:38,2022-09-07T18:25:34,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,08-09-2022,25.2,20.8,22.4,25.2,20.8,22.4,20.9,91.5,2.753,100,12.5,rain,0,0,42.1,19,245.5,1011.6,85.3,5.7,100,8.7,6,10,2022-09-08T06:07:38,2022-09-08T18:24:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,09-09-2022,27.3,21,23.3,29.5,21,23.6,21.2,88.6,0.5,100,16.67,rain,0,0,45.7,25.3,242.7,1011.1,76.3,6.7,272.8,23.6,9,30,2022-09-09T06:07:38,2022-09-09T18:24:11,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,10-09-2022,26.5,21,23,26.5,21,23,20.7,87.5,1.036,100,8.33,rain,0,0,51.5,24.8,249.1,1011.2,77.9,6.3,210.8,18.3,8,30,2022-09-10T06:07:38,2022-09-10T18:23:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
